iter	Passed	Remaining
455	998	1190
456	999	1187
457	1000	1183
458	1000	1179
459	1002	1176
460	1003	1172
461	1003	1169
462	1005	1165
463	1007	1163
464	1008	1160
465	1009	1156
466	1010	1153
467	1011	1150
468	1012	1146
469	1013	1142
470	1014	1139
471	1016	1137
472	1017	1133
473	1018	1130
474	1019	1126
475	1020	1123
476	1022	1120
477	1023	1117
478	1024	1114
479	1025	1110
480	1026	1107
481	1027	1104
482	1028	1100
483	1033	1101
484	1034	1098
485	1038	1098
486	1039	1094
487	1040	1091
488	1041	1088
489	1042	1084
490	1042	1081
491	1044	1078
492	1045	1074
493	1045	1071
494	1046	1068
495	1047	1064
496	1048	1061
497	1053	1061
498	1054	1058
499	1055	1055
500	1056	1051
501	1056	1048
502	1057	1045
503	1059	1042
504	1060	1039
505	1061	1035
506	1061	1032
507	1062	1029
508	1063	1026
509	1064	1023
510	1066	1020
511	1068	1018
512	1069	1015
513	1070	1011
514	1071	1008
515	1072	1006
516	1073	1002
517	1074	999
518	1075	996
519	1076	993
520	1076	990
521	1077	986
522	1078	983
523	1080	981
524	1082	979
525	1083	976
526	1084	973
527	1085	970
528	1086	967
529	1087	964
530	1088	961
531	1089	958
532	1090	955
533	1091	952
534	1092	949
535	1093	946
536	1094	943
537	1096	941
538	1097	938
539	1098	935
540	1099	932
541	1100	930
542	1101	927
543	1102	924
544	1103	921
545	1104	918
546	1105	915
547	1106	912
548	1107	909
549	1107	906
550	1109	904
551	1112	902
552	1113	899
553	1114	897
554	1115	894
555	1116	891
556	1117	888
557	1118	885
558	1118	882
559	1119	879
560	1120	877
561	1121	874
562	1122	871
563	1123	868
564	1124	866
565	1126	863
566	1127	861
567	1129	858
568	1130	856
569	1132	854
570	1134	852
571	1135	849
572	1136	846
573	1136	843
574	1137	841
575	1139	838
576	1141	837
577	1142	834
578	1144	831
579	1144	829
580	1145	826
581	1146	823
582	1147	820
583	1148	818
584	1149	815
585	1150	812
586	1151	809
587	1151	807
588	1152	804
589	1154	801
590	1158	801
591	1159	799
592	1160	796
593	1161	794
594	1162	791
595	1163	788
596	1164	786
597	1165	783
598	1166	780
599	1167	778
600	1168	775
601	1170	773
602	1172	772
603	1173	769
